category_id ,name
af95ccc0-6ddb-4b10-82b2-4de8dabfcc46,Vegetable
33cd8255-6371-4baf-9888-555973935748,Fruit
6f1ecaa5-fac0-4111-ac77-a717940c788d,Baking Goods
ed470df7-f8ae-4d26-8865-7241f085785b,Baby Items
4f78f76d-ab7e-4553-9535-93b113150f20,Condiments 
6c7774de-a47d-4f64-95d4-9b14d6b1a9aa,Pasta
908d98cc-e627-44bd-a7ac-d6848c9efc0e,Vegetable Oil
6fe71c72-7796-466a-acbf-aa1c93f1a123,Personal Care
036ac34e-2d13-4a7e-a941-897b032e9c39,Household
8b6798b4-4cfa-431e-9575-d757fd12ccbe,Drink
fbd9e263-1932-4b18-be01-a1682bb15087,Meat and Poultry
8ee74e3f-5998-4ec8-a038-4896c2234951,Cloth & Fashion
9a00a819-d1f5-49a3-85b6-b1d9a97ef9ed,Packed Food & Drink
f262c191-57f7-409c-9a39-e5766718deb5,Holiday
be9d37f0-f538-4a71-b104-16a8b3d4c36c,Special
a403e12a-aad6-4c1b-b9c2-a9ba0dacb96b,Holiday 
d24dd74f-bb40-49bc-a19c-f9e90d77f4ea,Dairy
64176013-cb95-4588-9779-32a20a5a1c5a,Electronics
