product_ratings_id,product_id,order_id
3f1255d5-9f91-44f2-b286-97029c4b8405,5027e4ff-3aeb-4a6b-ad5a-7a125b75a98d,cdb547cc-e5ed-4e83-b8e3-761aa8bb35db
23ff1b01-daaf-4e96-a52b-2ae5abaf670b,7af7c574-12e0-4d0e-a030-2721d28271a7,d7e6d1f9-f838-4b67-9b47-77a0a7ac812d
d0b680fa-f0bd-4cba-9f1e-97fc3c9d36e7,1240fe96-0539-4bff-b27e-ec0b39b010c3,a75364f4-dfca-4db6-bab8-6bf9b78c6ef3
432fee1e-595e-4bc6-8805-d4b4dce880d6,972dc864-82f5-476b-ad37-cc24ac3ebf20,c94f5f9f-ddba-4ab4-9526-48064ce685db
16437a9f-55e3-49f8-926e-1f0777401bc2,799499d4-60d8-4586-9e0c-1952f0258050,d75e4025-b3fc-49e6-b57a-9053aabefc5b
ae6fb4ab-9bfd-46ab-8a5c-315954c58caa,39a5a5ba-f6ff-437a-b224-851dbe6aad87,baee5d07-a455-4e31-80e3-b90bc621893b
45140c1c-b981-48e4-a130-8f9c3fe861bd,af4815fd-306c-4aa4-a36e-2bdf59268970,1c3e6dbb-f206-4fae-bc77-f23afcc7fc4f
ce5bcfe0-72f9-4b27-bd40-22198527d165,972dc864-82f5-476b-ad37-cc24ac3ebf20,5d107179-b2c2-4da7-a639-5e9a12b56083
2708adee-5bb3-4803-ad27-39d3a77ec02a,83362212-4aa5-4ce9-9b49-1ba79f0bdf76,cf5fa7db-74e4-4f6c-8dc0-bc5df539592d
2f9ee85b-90a6-4afa-8bee-789bd4a49b19,82615157-052b-4746-991d-e0c727991fb1,52c0acb8-9b22-4add-b8e8-9d200d9b93bb
a4bc030e-9958-47da-8de4-ceec5c79d45f,1411783c-662e-4cdd-98c1-e75fe866ac1b,6aaf4d75-5f96-4b6e-8556-6e08ce450974
d63ce32e-4aae-4a17-b8b1-e774f934bc27,1240fe96-0539-4bff-b27e-ec0b39b010c3,5a3925ec-c00a-4555-8f38-50117480d641
ce52d031-fad9-4f2f-b14f-1470578c23de,a0422d2f-68ad-437c-9446-3c33bf40913f,5dd91446-ef30-4d01-ae65-465e16b8c42b
819b6df6-9eff-474a-9052-a614170d2ea6,7934b8e9-0c02-44c5-adaf-d6b0e0d096ce,a7cc2b67-1838-4407-afa0-799268c49a24
d7b5d3f6-9c67-45cc-971f-2f428c0b658e,ca691a8e-b851-4845-b621-b16065a56c6d,fb7fd0bb-502a-40ad-b7e5-06b5311583f0
943688d6-39c2-45f9-935e-a91d4e6ba191,0956c1ed-7b47-4668-b6d7-a2734eea87d7,ffccbe07-19a9-40bd-a1c2-370e81b6f992
8d6da155-7d10-41ba-944a-d6eafab8272e,71a57024-c111-4ba0-9328-8639c6a76b68,d99c9bc2-3d5e-4d3b-b4fa-b3f4c51d9def
8db2291f-dc14-4206-b7c6-c3d630e29459,71e92fdc-5fe4-44c4-b001-65a77b7c24c9,0ca00021-4baf-46c7-bdd5-5a43a957d2d1
4351db15-bdf2-4af7-8267-dfdd7ba07dc1,1d29d69a-ed39-4b72-b7c9-391760833221,cf68180d-de4a-4d3d-9c97-69e515d5d50f
317cf9c4-3063-4cdd-8cde-9a3f82c97ed5,1240fe96-0539-4bff-b27e-ec0b39b010c3,1f540ba4-812f-4fa8-a788-59d657de3472
9630888f-bce0-4394-9d0b-984e3af3199a,2b83aa87-8828-4b97-baac-82e156bddd45,72d0d2dc-4198-4b8a-8eda-80cd96c5be52
3bbf1558-9064-496e-8232-7c23bb5cb367,972dc864-82f5-476b-ad37-cc24ac3ebf20,465c9e5a-d8d8-4e3c-85b5-065c71a4fb5d
2414f526-0667-4a66-b1cb-b1f1064fc088,1411783c-662e-4cdd-98c1-e75fe866ac1b,abb9a4a2-8805-47a1-b057-906a4e218cf7
24cbf16b-64ef-4e93-b5ad-4fb4d4157f53,c066c39e-d049-4d13-82d3-ed68e961d2f5,6c574390-9b16-4fe8-a461-0e151d36864c
70c54abf-fde5-4098-8e7b-4c50f43ab73c,82615157-052b-4746-991d-e0c727991fb1,da311024-ddd0-4e6a-82ea-b0bfd85e9cc1
8104c10f-d0e8-4a68-b22e-33a943ff6fc3,b2ef7c9b-b84f-4dfb-b7b6-0a5e4a833a2c,fb2b6d4c-1f27-43e2-bc06-c1a149c54f49
8d5de841-8c5c-4c9b-af22-609f0b421f22,18979c42-bdca-4bc9-9495-057a577bfe69,5e8f78ec-f331-492e-b932-a243f83ac7d2
b676a5b8-2d29-48c2-9cfa-266d70eb4032,c066c39e-d049-4d13-82d3-ed68e961d2f5,164e80bc-e443-46d0-9d82-c20ba4cf4e36
